"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 12 20:34:47 UTC 2025","Wed Nov 12 20:34:48 UTC 2025","307","chromium","api/todo-api.spec.js","API Todo Tests","","","GET 1.0 - получение всех задач",""
"passed","Wed Nov 12 20:34:48 UTC 2025","Wed Nov 12 20:34:48 UTC 2025","127","chromium","api/todo-api.spec.js","API Todo Tests","","","DELETE 1.0 - удаление задачи",""
"passed","Wed Nov 12 20:34:48 UTC 2025","Wed Nov 12 20:34:48 UTC 2025","105","chromium","api/todo-api.spec.js","API Todo Tests","","","GET 2.0 - получение задачи по ID",""
"passed","Wed Nov 12 20:34:48 UTC 2025","Wed Nov 12 20:34:48 UTC 2025","93","chromium","api/todo-api.spec.js","API Todo Tests","","","PUT 1.0 - полное обновление задачи",""
"passed","Wed Nov 12 20:34:54 UTC 2025","Wed Nov 12 20:34:59 UTC 2025","5193","chromium","ui/article.spec.js","Действия со статьями","","","редактирование статьи",""
"passed","Wed Nov 12 20:34:59 UTC 2025","Wed Nov 12 20:35:03 UTC 2025","4082","chromium","ui/article.spec.js","Действия со статьями","","","удаление статьи",""
"passed","Wed Nov 12 20:35:03 UTC 2025","Wed Nov 12 20:35:09 UTC 2025","5519","chromium","ui/article.spec.js","Действия со статьями","","","добавление и удаление комментария",""
"passed","Wed Nov 12 20:34:49 UTC 2025","Wed Nov 12 20:34:54 UTC 2025","5260","chromium","ui/article.spec.js","Действия со статьями","","","создание статьи",""
"passed","Wed Nov 12 20:35:09 UTC 2025","Wed Nov 12 20:35:12 UTC 2025","3394","chromium","ui/profile.spec.js","Действия с профилем","","","редактирование био в профиле",""
"passed","Wed Nov 12 20:34:48 UTC 2025","Wed Nov 12 20:34:48 UTC 2025","60","chromium","api/todo-api.spec.js","API Todo Tests","","","POST 1.0 - создание задачи со всеми параметрами",""
